N,AVL,Rubro-Negra,ArvoreB1,ArvoreB5,ArvoreB10
423,4850,7678,10727,10463,13003
424,4828,7935,10709,10475,12906
425,4949,7630,10698,10475,12913
426,4845,7979,10758,10618,13082
427,4750,7882,10793,10599,13098
428,4574,7890,10854,10559,13083
429,4928,7925,10904,10604,12996
430,5157,7934,10877,10672,13220
431,5038,7905,10910,10728,13262
432,5081,8010,10891,10702,13206
433,4777,8031,11003,10755,13325
434,5045,7946,11018,10765,13282
435,4951,8138,11001,10846,13276
436,5087,8040,11048,10795,13444
437,4899,8159,11055,10778,13246
438,4795,8079,11144,10903,13422
439,5129,8195,11122,10888,13333
440,5234,8186,11163,10872,13466
441,5303,8195,11175,10882,13584
442,4871,8333,11203,11049,13538
443,4852,8333,11237,10931,13569
444,5432,8259,11246,11031,13539
445,4800,8199,11264,11046,13516
446,5781,8288,11282,11047,13619
447,5205,8287,11437,11121,13663
448,4973,8409,11343,11070,13680
449,4808,8317,11358,11132,13772
450,4962,8424,11423,11146,13887
451,5016,8497,11419,11244,13832
452,5125,8505,11443,11284,13838
453,5006,8488,11479,11317,13901
454,4979,8521,11542,11263,13891
455,5099,8718,11545,11243,13959
456,5195,8468,11569,11352,13957
457,4897,8475,11619,11330,13909
458,5158,8699,11655,11403,14019
459,5223,8529,11650,11328,14177
460,5037,8387,11652,11454,14131
461,5296,8692,11702,11414,14134
462,5169,8458,11749,11426,14181
463,5833,8651,11777,11506,14241
464,5660,8636,11834,11531,14258
465,5946,8712,11782,11582,14355
466,5800,8681,11890,11599,14417
467,5439,8672,11854,11688,14428
468,5022,8700,11902,11671,14436
469,5854,8880,11911,11647,14342
470,4906,8721,11932,11706,14309
471,5206,8831,12022,11686,14385
472,5542,8854,12009,11775,14577
473,5060,8807,12067,11785,14516
474,5593,8954,12018,11818,14520
475,5205,8803,12132,11796,14577
476,5975,9012,12134,11818,14676
477,5676,8992,12116,11911,14649
478,5407,8992,12179,11988,14686
479,5497,8992,12201,11945,14764
480,5282,9123,12227,11949,14758
481,5206,8894,12257,11981,14748
482,5831,9048,12312,12001,14869
483,5357,9026,12251,12052,14959
484,5549,9022,12389,12002,14911
485,5700,9240,12404,12100,15031
486,5455,9111,12406,12202,15009
487,5831,9282,12455,12193,15104
488,5479,9235,12388,12171,15005
489,5789,9065,12496,12214,15011
490,5801,9372,12476,12238,15123
491,5389,9306,12506,12238,15039
492,5494,9265,12583,12321,15135
493,5757,9411,12536,12305,15095
494,5437,9302,12578,12327,15281
495,5845,9473,12601,12379,15124
496,5509,9335,12667,12367,15340
497,5576,9346,12674,12450,15264
498,6205,9394,12676,12469,15389
499,6082,9432,12807,12501,15330
500,5244,9266,12770,12517,15502
501,5639,9659,12728,12549,15505
502,5920,9540,12827,12516,15401
503,6098,9444,12793,12487,15596
504,5901,9497,12832,12639,15522
505,5604,9441,12868,12541,15647
506,6462,9739,12991,12635,15632
507,5856,9387,12917,12691,15696
508,6289,9613,12946,12772,15717
509,5451,9650,13065,12742,15710
510,5681,9695,12994,12802,15749
511,5527,9478,13016,12804,15760
512,5688,9751,13027,12744,15891
513,5713,9737,13088,12740,15973
514,6176,9758,13158,12899,15914
515,6161,9755,13161,12799,15949
516,5565,9726,13208,12896,15935
517,5759,9724,13203,12997,16024
518,6173,9900,13250,12980,16089
519,5987,9928,13252,12939,16010
520,5772,9798,13312,12973,16074
521,5763,10037,13380,13092,15996
522,6912,10040,13353,13075,16168
523,6346,9779,13345,13109,16233
524,5994,9744,13338,13224,16238
525,7378,10107,13446,13114,16300
526,6676,9945,13398,13158,16380
527,7561,10039,13544,13188,16348
528,6350,10111,13483,13252,16284
529,6365,10027,13493,13186,16228
530,5917,9976,13544,13281,16299
531,6554,10138,13585,13318,16426
532,6456,10107,13591,13371,16367
533,6075,10085,13641,13359,16493
534,6302,10177,13657,13476,16551
535,6006,10303,13672,13424,16571
536,6214,10138,13705,13444,16600
537,6422,10258,13731,13447,16560
538,6248,10477,13780,13558,16645
539,5775,10339,13811,13561,16653
540,6406,10466,13828,13606,16717
541,6234,10301,13975,13524,16768
542,6128,10330,13957,13566,16775
543,7042,10342,13885,13647,16960
544,6353,10399,13921,13721,16872
545,6377,10440,14043,13720,16806
546,6920,10534,13984,13757,16859
547,6435,10390,13967,13671,17031
548,6477,10435,14038,13841,16968
549,6170,10435,14028,13827,17035
550,6641,10396,14158,13819,17143
551,6175,10488,14136,13855,17101
552,7090,10547,14165,13922,17136
553,6156,10533,14151,13911,17144
554,7003,10892,14181,13999,17184
555,7021,10698,14252,14019,17240
556,6397,10762,14232,13994,17265
557,6489,10611,14270,14055,17392
558,6705,10986,14339,14141,17238
559,6701,10838,14419,14074,17210
560,6962,11072,14360,14061,17465
561,6901,10939,14393,14105,17401
562,6435,10927,14426,14123,17471
563,6369,10885,14457,14155,17485
564,6513,10948,14534,14146,17425
565,6573,10978,14513,14182,17476
566,6824,10970,14518,14233,17503
567,6976,11000,14587,14277,17638
568,6915,11102,14563,14260,17660
569,7130,10863,14628,14250,17679
570,7060,11057,14670,14406,17804
571,6937,10878,14647,14382,17775
572,6705,11049,14686,14396,17797
573,6744,10784,14708,14438,17743
574,6259,10944,14757,14511,17903
575,6695,11041,14761,14435,17881
576,6725,11067,14800,14510,18011
577,7459,11110,14796,14509,17929
578,6980,11184,14852,14646,17895
579,6903,11176,14835,14695,17984
580,6770,11338,14895,14635,18046
581,6106,11098,14966,14604,18052
582,6509,11345,14993,14637,18157
583,6819,11389,15001,14743,18085
584,7403,11208,15071,14732,18292
585,6891,11241,15036,14735,18184
586,6527,11321,15038,14871,18244
587,6889,11539,15112,14865,18264
588,6824,11236,15117,14830,18348
589,7167,11369,15198,14892,18285
590,6954,11576,15148,14839,18374
591,6667,11545,15229,14920,18535
592,7018,11535,15245,14987,18363
593,7191,11503,15233,15007,18515
594,8176,11725,15331,15015,18448
595,6752,11640,15275,15065,18560
596,6706,11489,15364,15105,18468
597,7463,11681,15329,15099,18616
598,6762,11358,15420,15119,18552
599,7425,11757,15469,15127,18672
600,6883,11492,15480,15167,18712
601,7295,11689,15515,15218,18692
602,7128,11557,15483,15215,18816
603,7236,11757,15508,15318,18750
604,7622,11962,15591,15277,18903
605,6789,11790,15579,15268,18838
606,6865,11737,15624,15325,19039
607,7147,11744,15661,15363,18899
608,7227,11758,15695,15439,18974
609,6907,11879,15707,15424,18962
610,7263,11825,15693,15458,18945
611,7158,11936,15760,15418,19056
612,7427,12031,15779,15495,19069
613,7644,12019,15803,15495,19067
614,7417,11877,15868,15536,19109
615,7548,11997,15878,15570,19019
616,6780,12098,15866,15598,19186
617,8403,12307,15991,15658,19155
618,8088,12340,15935,15679,19195
619,7017,11997,15992,15679,19162
620,7006,12076,15979,15736,19386
621,7606,12297,16100,15744,19509
622,8223,12048,16060,15782,19412
623,7136,12086,16114,15797,19490
624,7075,12325,16086,15863,19512
625,7274,12152,16113,15783,19443
626,6954,12284,16202,15871,19561
627,7576,12239,16224,15907,19480
628,7854,12598,16227,15955,19694
629,7379,12350,16235,15984,19603
630,7470,12447,16274,16024,19609
631,7310,12516,16292,16020,19781
632,7475,12382,16327,16037,19674
633,8269,12488,16379,16073,19752
634,7838,12393,16342,16133,19864
635,7972,12453,16417,16114,19872
636,7371,12221,16426,16198,19888
637,8402,12570,16508,16210,19929
638,7642,12405,16515,16205,19939
639,7307,12449,16508,16185,20005
640,7461,12620,16631,16278,19962
641,7456,12513,16582,16234,19997
642,8209,12496,16652,16342,20014
643,8153,12678,16625,16343,20059
644,8176,12619,16680,16322,20084
645,7687,12983,16700,16407,20098
646,7415,12662,16712,16375,20211
647,8147,12756,16751,16459,20258
648,7371,12858,16786,16463,20314
649,8344,12878,16773,16486,20274
650,7240,12670,16848,16494,20273
651,7353,12671,16835,16545,20353
652,8116,12843,16854,16624,20402
653,8313,12913,16896,16512,20504
654,8377,12683,16939,16638,20337
655,7684,12884,16966,16691,20455
656,7469,12799,16971,16685,20433
657,7191,12829,16966,16690,20453
658,7450,12966,17009,16772,20637
659,7997,13219,17056,16778,20679
660,7551,13133,17084,16857,20782
